Description,Torque,Ratio,Efficiency,Weight,Inertia,Shaft,Price
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,987 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,1135 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,1227 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 4-stage",0.17,1526 : 1,65,19,0.0834,12,128.45
"Planetary gearhead GPX 12 LZ Ø12 mm, 2-stage",0.11,16 : 1,80,14,0.0602,12,105.73
"Planetary gearhead GPX 12 LZ Ø12 mm, 2-stage",0.11,21 : 1,80,14,0.0602,12,105.73
"Planetary gearhead GPX 12 LZ Ø12 mm, 2-stage",0.11,26 : 1,80,14,0.0602,12,105.73
"Planetary gearhead GPX 12 LZ Ø12 mm, 2-stage",0.11,28 : 1,80,14,0.0602,12,105.73
"Planetary gearhead GPX 12 LZ Ø12 mm, 2-stage",0.11,35 : 1,80,14,0.0602,12,105.73
"Planetary gearhead GPX 12 LZ Ø12 mm, 3-stage",0.14,62 : 1,75,17,0.0664,12,116.09
"Planetary gearhead GPX 12 LZ Ø12 mm, 3-stage",0.14,83 : 1,75,17,0.0664,12,116.09
"Planetary gearhead GPX 13 SP STE Ø13 mm, 3-stage",0.15,125 : 1,70,30,0.0074,13,258.09
"Planetary gearhead GPX 13 SP STE Ø13 mm, 1-stage",0.025,5 : 1,85,21,0.0095,13,162.82
"Planetary gearhead GPX 13 SP STE Ø13 mm, 2-stage",0.06,25 : 1,80,26,0.0075,13,211.55
"Planetary gearhead GPX 13 SP STES Ø13 mm, 3-stage",0.15,125 : 1,70,30,0.0074,13,343.27
"Planetary gearhead GPX 13 SP STES Ø13 mm, 1-stage",0.025,5 : 1,85,21,0.0095,13,248
"Planetary gearhead GPX 13 SP STES Ø13 mm, 2-stage",0.06,25 : 1,80,26,0.0075,13,296.73
"Planetary gearhead GPX 14 Ø14 mm, 3-stage",0.25,103 : 1,75,21,0.065,14,86.73
"Planetary gearhead GPX 14 Ø14 mm, 3-stage",0.25,111 : 1,75,21,0.065,14,86.73
"Planetary gearhead GPX 14 Ø14 mm, 3-stage",0.25,138 : 1,75,21,0.065,14,86.73
"Planetary gearhead GPX 14 Ø14 mm, 3-stage",0.25,150 : 1,75,21,0.065,14,86.73
"Planetary gearhead GPX 14 Ø14 mm, 3-stage",0.25,172 : 1,75,21,0.065,14,86.73
"Planetary gearhead GPX 14 Ø14 mm, 3-stage",0.25,186 : 1,75,21,0.065,14,86.73
"Planetary gearhead GPX 14 Ø14 mm, 3-stage",0.25,231 : 1,75,21,0.065,14,86.73
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,243 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,326 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 1-stage",0.16,3.9 : 1,90,14,0.0673,14,68.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,406 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,439 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,546 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,590 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 1-stage",0.16,5.3 : 1,90,14,0.0673,14,68.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,679 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 1-stage",0.16,6.6 : 1,90,14,0.0673,14,68.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,734 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,794 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,913 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,987 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,1135 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,1227 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 4-stage",0.3,1526 : 1,65,23,0.0684,14,99.09
"Planetary gearhead GPX 14 Ø14 mm, 2-stage",0.2,16 : 1,80,19,0.0595,14,76.36
"Planetary gearhead GPX 14 Ø14 mm, 2-stage",0.2,21 : 1,80,19,0.0595,14,76.36
"Planetary gearhead GPX 14 Ø14 mm, 2-stage",0.2,26 : 1,80,19,0.0595,14,76.36
"Planetary gearhead GPX 14 Ø14 mm, 2-stage",0.2,28 : 1,80,19,0.0595,14,76.36
"Planetary gearhead GPX 14 Ø14 mm, 2-stage",0.2,35 : 1,80,19,0.0595,14,76.36
"Planetary gearhead GPX 14 Ø14 mm, 3-stage",0.25,62 : 1,75,21,0.065,14,86.73
"Planetary gearhead GPX 14 Ø14 mm, 3-stage",0.25,83 : 1,75,21,0.065,14,86.73
"Planetary gearhead GPX 14 C Ø14 mm, 3-stage",0.33,103 : 1,75,21,0.065,14,117.73
"Planetary gearhead GPX 14 C Ø14 mm, 3-stage",0.33,111 : 1,75,21,0.065,14,117.73
"Planetary gearhead GPX 14 C Ø14 mm, 3-stage",0.33,138 : 1,75,21,0.065,14,117.73
"Planetary gearhead GPX 14 C Ø14 mm, 3-stage",0.33,150 : 1,75,21,0.065,14,117.73
"Planetary gearhead GPX 14 C Ø14 mm, 3-stage",0.33,172 : 1,75,21,0.065,14,117.73
"Planetary gearhead GPX 14 C Ø14 mm, 3-stage",0.33,186 : 1,75,21,0.065,14,117.73
"Planetary gearhead GPX 14 C Ø14 mm, 3-stage",0.33,231 : 1,75,21,0.065,14,117.73
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,243 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,326 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 1-stage",0.21,3.9 : 1,90,14,0.0673,14,86.18
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,406 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,439 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,546 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,590 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 1-stage",0.21,5.3 : 1,90,14,0.0673,14,86.18
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,679 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 1-stage",0.21,6.6 : 1,90,14,0.0673,14,86.18
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,734 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,794 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,913 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,987 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,1135 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,1227 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 4-stage",0.4,1526 : 1,65,23,0.0684,14,135.27
"Planetary gearhead GPX 14 C Ø14 mm, 2-stage",0.27,16 : 1,80,19,0.0595,14,100.91
"Planetary gearhead GPX 14 C Ø14 mm, 2-stage",0.27,21 : 1,80,19,0.0595,14,100.91
"Planetary gearhead GPX 14 C Ø14 mm, 2-stage",0.27,26 : 1,80,19,0.0595,14,100.91
"Planetary gearhead GPX 14 C Ø14 mm, 2-stage",0.27,28 : 1,80,19,0.0595,14,100.91
"Planetary gearhead GPX 14 C Ø14 mm, 2-stage",0.27,35 : 1,80,19,0.0595,14,100.91
"Planetary gearhead GPX 14 C Ø14 mm, 3-stage",0.33,62 : 1,75,21,0.065,14,117.73
"Planetary gearhead GPX 14 C Ø14 mm, 3-stage",0.33,83 : 1,75,21,0.065,14,117.73
"Planetary gearhead GPX 14 HP Ø14 mm, 3-stage",0.4,103 : 1,65,25,0.0801,14,133.45
"Planetary gearhead GPX 14 HP Ø14 mm, 3-stage",0.4,111 : 1,65,25,0.0801,14,133.45
"Planetary gearhead GPX 14 HP Ø14 mm, 3-stage",0.4,138 : 1,65,25,0.0801,14,133.45
"Planetary gearhead GPX 14 HP Ø14 mm, 3-stage",0.4,150 : 1,65,25,0.0801,14,133.45
"Planetary gearhead GPX 14 HP Ø14 mm, 3-stage",0.4,172 : 1,65,25,0.0801,14,133.45
"Planetary gearhead GPX 14 HP Ø14 mm, 3-stage",0.4,186 : 1,65,25,0.0801,14,133.45
"Planetary gearhead GPX 14 HP Ø14 mm, 3-stage",0.4,231 : 1,65,25,0.0801,14,133.45
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,243 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,326 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,406 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,439 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,546 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,590 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,679 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,734 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,794 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,913 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,987 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,1135 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,1227 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 4-stage",0.5,1526 : 1,55,27,0.0852,14,151.82
"Planetary gearhead GPX 14 HP Ø14 mm, 2-stage",0.3,16 : 1,75,21,0.0953,14,118.27
"Planetary gearhead GPX 14 HP Ø14 mm, 2-stage",0.3,21 : 1,75,21,0.0953,14,118.27
"Planetary gearhead GPX 14 HP Ø14 mm, 2-stage",0.3,26 : 1,75,21,0.0953,14,118.27
"Planetary gearhead GPX 14 HP Ø14 mm, 2-stage",0.3,28 : 1,75,21,0.0953,14,118.27
"Planetary gearhead GPX 14 HP Ø14 mm, 2-stage",0.3,35 : 1,75,21,0.0953,14,118.27
"Planetary gearhead GPX 14 HP Ø14 mm, 3-stage",0.4,62 : 1,65,25,0.0801,14,133.45
"Planetary gearhead GPX 14 HP Ø14 mm, 3-stage",0.4,83 : 1,65,25,0.0801,14,133.45
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.2,103 : 1,75,21,0.065,14,101.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.2,111 : 1,75,21,0.065,14,101.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.2,138 : 1,75,21,0.065,14,101.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.2,150 : 1,75,21,0.065,14,101.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.2,172 : 1,75,21,0.065,14,101.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.2,186 : 1,75,21,0.065,14,101.27
"Planetary gearhead GPX 14 LN Ø14 mm, 3-stage, 62:1 - 231:1",0.2,231 : 1,75,21,0.065,14,101.27
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,243 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,326 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 1-stage",0.13,3.9 : 1,90,14,0.0673,14,82.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,406 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,439 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,546 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,590 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 1-stage",0.13,5.3 : 1,90,14,0.0673,14,82.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,679 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 1-stage",0.13,6.6 : 1,90,14,0.0673,14,82.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,734 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,794 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,913 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,987 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,1135 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,1227 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 4-stage",0.24,1526 : 1,65,23,0.0684,14,113.64
"Planetary gearhead GPX 14 LN Ø14 mm, 2-stage",0.16,16 : 1,80,19,0.0595,14,90.91
"Planetary gearhead GPX 14 LN Ø14 mm, 2-stage",0.16,21 : 1,80,19,0.0595,14,90.91
"Planetary gearhead GPX 14 LN Ø14 mm, 2-stage",0.16,26 : 1,80,19,0.0595,14,90.91
"Planetary gearhead GPX 14 LN Ø14 mm, 2-stage",0.16,28 : 1,80,19,0.0595,14,90.91
"Planetary gearhead GPX 14 LN Ø14 mm, 2-stage",0.16,35 : 1,80,19,0.0595,14,90.91
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.2,62 : 1,75,21,0.065,14,101.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.2,83 : 1,75,21,0.065,14,101.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.25,103 : 1,75,21,0.065,14,113.91
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.25,111 : 1,75,21,0.065,14,113.91
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.25,138 : 1,75,21,0.065,14,113.91
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.25,150 : 1,75,21,0.065,14,113.91
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.25,172 : 1,75,21,0.065,14,113.91
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.25,186 : 1,75,21,0.065,14,113.91
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.25,231 : 1,75,21,0.065,14,113.91
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,243 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,326 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,406 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,439 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,546 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,590 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,679 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,734 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,794 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,913 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,987 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,1135 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,1227 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 4-stage",0.3,1526 : 1,65,23,0.0684,14,126.27
"Planetary gearhead GPX 14 LZ Ø14 mm, 2-stage",0.2,16 : 1,80,19,0.0595,14,103.55
"Planetary gearhead GPX 14 LZ Ø14 mm, 2-stage",0.2,21 : 1,80,19,0.0595,14,103.55
"Planetary gearhead GPX 14 LZ Ø14 mm, 2-stage",0.2,26 : 1,80,19,0.0595,14,103.55
"Planetary gearhead GPX 14 LZ Ø14 mm, 2-stage",0.2,28 : 1,80,19,0.0595,14,103.55
"Planetary gearhead GPX 14 LZ Ø14 mm, 2-stage",0.2,35 : 1,80,19,0.0595,14,103.55
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.25,62 : 1,75,21,0.065,14,113.91
"Planetary gearhead GPX 14 LZ Ø14 mm, 3-stage",0.25,83 : 1,75,21,0.065,14,113.91
"Planetary gearhead GPX 16  Ø16 mm, 3-stage",0.35,103 : 1,75,27,0.106,16,85.82
"Planetary gearhead GPX 16  Ø16 mm, 3-stage",0.35,111 : 1,75,27,0.106,16,85.82
"Planetary gearhead GPX 16  Ø16 mm, 3-stage",0.35,138 : 1,75,27,0.106,16,85.82
"Planetary gearhead GPX 16  Ø16 mm, 3-stage",0.35,150 : 1,75,27,0.106,16,85.82
"Planetary gearhead GPX 16  Ø16 mm, 3-stage",0.35,172 : 1,75,27,0.106,16,85.82
"Planetary gearhead GPX 16  Ø16 mm, 3-stage",0.35,186 : 1,75,27,0.106,16,85.82
"Planetary gearhead GPX 16  Ø16 mm, 3-stage",0.35,231 : 1,75,27,0.106,16,85.82
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,243 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,326 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 1-stage",0.2,3.9 : 1,90,20,0.128,16,65.55
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,406 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,439 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,546 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,590 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 1-stage",0.2,5.3 : 1,90,20,0.128,16,65.55
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,679 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 1-stage",0.2,6.6 : 1,90,20,0.128,16,65.55
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,734 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,794 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,913 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,987 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,1135 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,1227 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 4-stage",0.45,1526 : 1,65,31,0.109,16,96.27
"Planetary gearhead GPX 16 Ø16 mm, 2-stage",0.25,16 : 1,80,25,0.109,16,75.64
"Planetary gearhead GPX 16 Ø16 mm, 2-stage",0.25,21 : 1,80,25,0.109,16,75.64
"Planetary gearhead GPX 16 Ø16 mm, 2-stage",0.25,26 : 1,80,25,0.109,16,75.64
"Planetary gearhead GPX 16 Ø16 mm, 2-stage",0.25,28 : 1,80,25,0.109,16,75.64
"Planetary gearhead GPX 16 Ø16 mm, 2-stage",0.25,35 : 1,80,25,0.109,16,75.64
"Planetary gearhead GPX 16 Ø16 mm, 2-stage",0.25,44 : 1,80,25,0.109,16,75.64
"Planetary gearhead GPX 16  Ø16 mm, 3-stage",0.35,62 : 1,75,27,0.106,16,85.82
"Planetary gearhead GPX 16  Ø16 mm, 3-stage",0.35,83 : 1,75,27,0.106,16,85.82
"Planetary gearhead GPX 16 C Ø16 mm, 3-stage",0.47,103 : 1,75,27,0.106,16,111.64
"Planetary gearhead GPX 16 C Ø16 mm, 3-stage",0.47,111 : 1,75,27,0.106,16,111.64
"Planetary gearhead GPX 16 C Ø16 mm, 3-stage",0.47,138 : 1,75,27,0.106,16,111.64
"Planetary gearhead GPX 16 C Ø16 mm, 3-stage",0.47,150 : 1,75,27,0.106,16,111.64
"Planetary gearhead GPX 16 C Ø16 mm, 3-stage",0.47,172 : 1,75,27,0.106,16,111.64
"Planetary gearhead GPX 16 C Ø16 mm, 3-stage",0.47,186 : 1,75,27,0.106,16,111.64
"Planetary gearhead GPX 16 C Ø16 mm, 3-stage",0.47,231 : 1,75,27,0.106,16,111.64
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,243 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,326 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 1-stage",0.27,3.9 : 1,90,20,0.128,16,81.73
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,406 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,439 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,546 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,590 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 1-stage",0.27,5.3 : 1,90,20,0.128,16,81.73
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,679 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 1-stage",0.27,6.6 : 1,90,20,0.128,16,81.73
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,734 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,794 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,913 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,987 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,1135 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,1227 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 4-stage",0.6,1526 : 1,65,31,0.109,16,128.55
"Planetary gearhead GPX 16 C Ø16 mm, 2-stage",0.33,16 : 1,80,25,0.109,16,95
"Planetary gearhead GPX 16 C Ø16 mm, 2-stage",0.33,21 : 1,80,25,0.109,16,95
"Planetary gearhead GPX 16 C Ø16 mm, 2-stage",0.33,26 : 1,80,25,0.109,16,95
"Planetary gearhead GPX 16 C Ø16 mm, 2-stage",0.33,28 : 1,80,25,0.109,16,95
"Planetary gearhead GPX 16 C Ø16 mm, 2-stage",0.33,35 : 1,80,25,0.109,16,95
"Planetary gearhead GPX 16 C Ø16 mm, 2-stage",0.33,44 : 1,80,25,0.109,16,95
"Planetary gearhead GPX 16 C Ø16 mm, 3-stage",0.47,62 : 1,75,27,0.106,16,111.64
"Planetary gearhead GPX 16 C Ø16 mm, 3-stage",0.47,83 : 1,75,27,0.106,16,111.64
"Planetary gearhead GPX 16 HP Ø16 mm, 3-stage",0.8,103 : 1,65,37,0.178,16,137.64
"Planetary gearhead GPX 16 HP Ø16 mm, 3-stage",0.8,111 : 1,65,37,0.178,16,137.64
"Planetary gearhead GPX 16 HP Ø16 mm, 3-stage",0.8,138 : 1,65,37,0.178,16,137.64
"Planetary gearhead GPX 16 HP Ø16 mm, 3-stage",0.8,150 : 1,65,37,0.178,16,137.64
"Planetary gearhead GPX 16 HP Ø16 mm, 3-stage",0.8,172 : 1,65,37,0.178,16,137.64
"Planetary gearhead GPX 16 HP Ø16 mm, 3-stage",0.8,186 : 1,65,37,0.178,16,137.64
"Planetary gearhead GPX 16 HP Ø16 mm, 3-stage",0.8,231 : 1,65,37,0.178,16,137.64
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,243 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,326 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,406 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,439 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,546 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,590 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,679 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,734 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,794 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,913 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,987 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,1135 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,1227 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 4-stage",0.9,1526 : 1,55,39,0.169,16,155.09
"Planetary gearhead GPX 16 HP Ø16 mm, 2-stage",0.55,16 : 1,75,32,0.208,16,120.55
